#GEN	TIME		EVAL	BEST		AVG		STDDEV		WORST

0	0.0		100		3.05e+32  4.75e+30  3.20e+31  0.00e+00
1	0.1		200		3.05e+32  5.57e+30  3.28e+31  0.00e+00
2	0.2		300		3.05e+32  6.37e+30  3.35e+31  0.00e+00
3	0.2		400		3.05e+32  1.10e+31  4.57e+31  0.00e+00
4	0.2		500		3.05e+32  1.12e+31  4.56e+31  0.00e+00
5	0.3		600		3.05e+32  1.11e+31  4.56e+31  0.00e+00
6	0.3		700		3.05e+32  1.43e+31  5.42e+31  0.00e+00
7	0.4		800		3.05e+32  1.49e+31  5.45e+31  0.00e+00
8	0.4		900		3.05e+32  1.57e+31  5.48e+31  0.00e+00
9	0.4		1000		3.05e+32  1.57e+31  5.49e+31  0.00e+00
10	0.5		1100		3.05e+32  1.48e+31  5.46e+31  0.00e+00
11	0.5		1200		3.05e+32  1.80e+31  6.17e+31  0.00e+00
12	0.6		1300		3.05e+32  2.11e+31  6.79e+31  0.00e+00
13	0.6		1400		3.05e+32  2.10e+31  6.79e+31  0.00e+00
14	0.6		1500		3.05e+32  1.73e+31  6.14e+31  0.00e+00
15	0.7		1600		3.05e+32  1.58e+31  6.08e+31  0.00e+00
16	0.7		1700		3.05e+32  1.35e+31  5.38e+31  0.00e+00
17	0.8		1800		3.05e+32  1.73e+31  6.14e+31  0.00e+00
18	0.8		1900		3.05e+32  1.74e+31  6.14e+31  0.00e+00
19	0.8		2000		3.05e+32  1.73e+31  6.14e+31  0.00e+00
20	0.9		2100		3.05e+32  1.50e+31  5.45e+31  0.00e+00
21	0.9		2200		3.05e+32  1.19e+31  4.61e+31  0.00e+00
22	0.10		2300		3.05e+32  1.43e+31  5.42e+31  0.00e+00
23	0.10		2400		3.05e+32  1.37e+31  5.38e+31  0.00e+00
24	0.10		2500		3.05e+32  1.66e+31  6.11e+31  0.00e+00
25	0.11		2600		3.05e+32  1.65e+31  6.11e+31  0.00e+00
26	0.11		2700		3.05e+32  2.02e+31  6.77e+31  0.00e+00
27	0.11		2800		3.05e+32  2.25e+31  7.32e+31  0.00e+00
28	0.12		2900		3.05e+32  2.63e+31  7.85e+31  0.00e+00
29	0.12		3000		3.05e+32  2.47e+31  7.37e+31  0.00e+00
30	0.13		3100		3.05e+32  1.94e+31  6.21e+31  0.00e+00
31	0.13		3200		3.05e+32  1.72e+31  6.14e+31  0.00e+00
32	0.13		3300		3.05e+32  1.03e+31  4.52e+31  0.00e+00
33	0.14		3400		3.05e+32  1.12e+31  4.56e+31  0.00e+00
34	0.14		3500		3.05e+32  1.19e+31  4.61e+31  0.00e+00
35	0.14		3600		3.05e+32  1.26e+31  4.65e+31  0.00e+00
36	0.15		3700		3.05e+32  1.19e+31  4.61e+31  0.00e+00
37	0.15		3800		3.05e+32  9.05e+30  3.55e+31  0.00e+00
